Video Name,Subject,Channel,Progress,URL,Next Time,Priority,Type,Website
,,,,,,,,
"That Beard Life!! | Full Beard Care Routine and Tips ",Personal,Jeremy Siers,Not Started,https://www.youtube.com/watch?v=B5b9c_LZAbM,,LOW,YouTube,
How to Tame a Wild Beard (6 Step Tutorial),Personal,GQ,Not Started,https://www.youtube.com/watch?v=ydfyM48MtsY,,LOW,YouTube,
How great leaders inspire action | Simon Sinek,"Personal, Self Development",TED,Done,https://www.youtube.com/watch?v=qp0HIF3SfI4&t=141s,"March 24, 2022",HARD,YouTube,
Linux Explained: What is The Linux Kernel?,"Cybersecurity, Linux",Linux TV,Done,https://www.youtube.com/watch?v=pJ607nDnyE0,,MEDIUM,YouTube,
Security + 1.2 Wireless Attacks WEP & IV,Cybersecurity,Cyber-Recon,Not Started,https://www.youtube.com/watch?v=Fr84Y1ur5dc,,MEDIUM,YouTube,
Jordan B. Peterson on 12 Rules for Life,Self Development,How To Academy Mindset,Not Started,https://www.youtube.com/watch?v=-5RCmu-HuTg&t=229s&ab_channel=HowToAcademyMindset,,HARD,YouTube,
How to Import from a .CSV with Pandas,"Pandas, Programming",CBT Nuggets,Done,https://www.youtube.com/watch?v=UkR6WrD_TSA&ab_channel=CBTNuggets,"April 3, 2022",MEDIUM,YouTube,
Sharpen the saw – the most fundamental productivity advice ever,"Procrastination, Self Development, Working Smart",,Done,https://www.spica.com/blog/sharpen-the-saw,"April 5, 2022",HARD,Article,Spica
The Ultimate List: 58 Time Management Techniques & Our Top 10 Picks (with mind-map),"Self Development, Time Management",,Done,https://www.spica.com/blog/time-management-techniques,,HARD,Article,Spica
How to Improve Yourself Right NOW (and Why) - Prof. Jordan Peterson,Self Development,Jordan Peterson Fan Channel,Done,https://www.youtube.com/watch?v=PE0u7-SX2hs,"March 25, 2022",MEDIUM,YouTube,
How to Develop a Successful Goal Setting Process,"Goals, Self Development",,Done,https://www.indeed.com/career-advice/career-development/goal-setting-process,"April 21, 2022",HARD,Article,Indeed
Does Running Build Muscle? All You Need to Know,Sport,,Done,https://www.healthline.com/nutrition/does-running-build-muscle#sample-workouts,,HARD,Article,Healthline
10 Effective Goal-Setting Techniques for Achieving Your Goals,"Goals, Self Development",,Done,https://www.indeed.com/career-advice/career-development/goal-setting-techniques,,HARD,Article,Indeed
How I ACE my Exams with the ACTIVE RECALL STUDY METHOD,Studying,Mike and Matty,Not Started,https://www.youtube.com/watch?v=Ie-__POGl8Q,,HARD,YouTube,
10 Study Tips for Earning an A on Your Next Exam - College Info Geek,Studying,Thomas Frank,Not Started,https://www.youtube.com/watch?v=jYWfiP7w5w0,,HARD,YouTube,
"13 Essential, Science-Backed Study Tips",Studying,"Thomas Frank ",Done,https://www.youtube.com/watch?v=Bxv9lf5HjZM,"April 9, 2022",MEDIUM,YouTube,
7 things that (quickly) cured my procrastination,Procrastination,Batter Ideas,Done,https://www.youtube.com/watch?v=7yLOth7SWAY,"March 26, 2022",MEDIUM,YouTube,
USMLE Step 1 – How to Study (Dedicated Period),Studying,Med School Insiders,Not Started,https://www.youtube.com/watch?v=oPZewnPQkkw,,HARD,YouTube,
PERSONALITY-based Study Tips | Tools for Better Grades,"Self Development, Studying",Med School Insiders,Done,https://www.youtube.com/watch?v=H4rhSvqPM3s,,MEDIUM,YouTube,
Procrastination – 7 Steps to Cure,"Procrastination, Self Development",Med School Insiders,Done,https://www.youtube.com/watch?v=irp5ghCVNAM,"March 24, 2022",HARD,YouTube,
22 differences between hard work and smart work,"Self Development, Working Smart",,Done,https://www.spica.com/blog/hard-work-vs-smart-work,"March 23, 2022",HARD,Article,Spica
Working Hard vs Working Smart,Self Development,Alux,Done,https://www.youtube.com/watch?v=YQqC7T6sGqU,,HARD,YouTube,
PROGRESSIVE CALISTHENICS: How to Make a Perfect Routine\,Calisthenics,Hybrid Calisthenics,Done,https://www.youtube.com/watch?v=u0ST077CI90,"March 25, 2022",HARD,YouTube,
How To Start Calisthenics at Home for Beginners (No Equipment),"Calisthenics, Personal",Adam Frater,Done,https://www.youtube.com/watch?v=hEXjX6nwDoY,"April 22, 2022",HARD,YouTube,
5 Life Hacks to Upgrade Your Day from Ryan Serhant,Self Development,Ryan Serhant,Done,https://www.youtube.com/watch?v=5TV8BExuiMY&t=27s,"April 21, 2022",MEDIUM,YouTube,
10 Personal Care Tips You’ve NEVER Done But Should Be!,Personal,Teachingmensfashion,Not Started,https://www.youtube.com/watch?v=9ESDjgCS8bg,,MEDIUM,YouTube,
The Secret Imagination of Elite Performers | Charlie Unwin | TEDxHolyhead,Self Development,TED,Done,https://www.youtube.com/watch?v=FK3STeyLUEU,"March 23, 2022",MEDIUM,YouTube,
Breaking The Kill Chain: A Defensive Approach,"Cybersecurity, Kill Chain",The CISO Perspective,Done,https://www.youtube.com/watch?v=II91fiUax2g,,MEDIUM,YouTube,
Incident Response,"Cybersecurity, Incident Response",,InProgress,https://www.cynet.com/incident-response/,,HARD,Article,CyNet
Introduction to Stream Control Transmission Protocol(SCTP) & Wireshark Analysis,"Cybersecurity, Wireshark",,Done,https://www.f5.com/pdf/white-papers/sctp-introduction-wp.pdf,,HARD,Article,f5
RTT Calculations,,,,,,,YouTube,
Xmas Scanning,Cybersecurity,,Done,https://www.youtube.com/watch?v=KmOi8__DEBE,,MEDIUM,YouTube,
Running an SQL Injection Attack,Cybersecurity,Computerphile,Done,https://www.youtube.com/watch?v=ciNHn38EyRc,,MEDIUM,YouTube,
Introduction to OS Command Injections,"Cybersecurity, Injections",Cybr,InProgress,https://www.youtube.com/watch?v=9XY2abdWADQ,,HARD,YouTube,
